"";"Q0_Ouv_point_noir";"Q0_Ouv_commentaires"
"5108";"les boulevards maréchaux";"Paris a déjà fait beaucoup ; il n'y a pas que les parisiens qui roulent en vélo à Paris, il y a aussi les banlieusards. Et pour encourager encore plus le vélo, il faudrait que les communes de la petite couronne investissent également sur les pistes cyclables en banlieue. Le sentiment est que les voitures se sont habitués au vélo dans une certaine mesure dans Paris, mais dès qu'ils quittent la capitale, ils redeviennent de vrais chauffards et faire du vélo devient dangereux, comme c'était le cas à Paris il y a 20 ans."
"5109";"Tous les grands axes où il n'y a pas de voie spécifique vélo, comme l'avenue du Maine.
Tous les grands axes où les vélos partagent la voie de bus. Exemple : boulevard st germain ou boulevard st marcel";NA
"5110";"Boulevard Magenta";NA
"5111";"Place Concorde, Boulevard de l'hopital, et SURTOUT le Pont AUSTERLITZ, Bld Montparnasse....";"La pollution qui ne fait que s'accentuer, rend l'usage du vélo infernal. Les embouteillages qui ne font que croitre rend l'usage du vélo de plus en plus compliqué, dangereux et insupportable. Sans parler du scandale lié à l'indisponibilité des stations VELIB depuis 1 mois"
"5112";"Les ronds points comme celui de la bastille";NA
"5113";"Sur les grands axes et les ronds points mal équipés en pistes cyclables. Exemple: les grandes places comme Nation,  Bastille";"J'aimerai pouvoir circuler plus souvent en vélo et notamment faire des trajets avec mon fils mais il faudrait (1) que je me sente plus en sécurité pour moi et lui. (2) les vélos en libre service soient équipés de sièges pour enfants"
"5114";"lorsque les vélos partagent la voirie avec des bus et des taxis sur les grands axes. Bvd saint Marcel, bvd de strasbourg, bvd St michel...";NA
"5115";"Les ronds-points";"Pas assez de pistes cyclables, état des routes mauvais pour les vélos"
"5116";"Avenue d'italie 75013";"Pistes cyclables ou les voitures peuvent se garer à côté sont tres dangereuse. J'ai eu un accident presque mortel dessus."
"5117";"Porte d'Orléans en direction de Montrouge la circulation a vélo est difficile : beaucoup de trafic et pas de piste cyclables

la rue de la convention est mal entretenue ce qui ne permet pas de circuler à vélo dans des bonnes conditions. A noter également l'absence de piste cyclables dans le sens Est/Ouest


";"Dans toute la ville de Paris, les feux de circulation ne sont pas adaptés à la vitesse des vélos ce qui ne permet pas de fluidifier les déplacements"
"5118";"Les grands carrefours";"Non"
"5119";"difficulté sur les grandes places par exemple Bastille, Nation...";"Une grande amélioration serait une discipline par eux-même des cyclistes, dont notamment respecter la signalisation des feux, s'arrêter aux feux, ne pas doubler à droite d'autres cyclistes. Cf. Amsterdam où les cyclistes respectent leur environnement et donc leur environnement les respects."
"5120";"Toutes les pistes cyclables partagées avec les piétons. Un vélo est un véhicule rapide et silencieux, c'est compliqué de partager le trottoire avec des pietons qui ont souvent des écouteurs sur les oreilles et qui pensent être en sécurité donc ne sont pas toujours vigilant à un vélo qui arrive devant ou derrière eux.";NA
"5121";"Les axes de circulation  fortement fréquentés par les voitures, avec ou sans piste cyclable clairement délimitée (les taxis et les bus utilisent le même tracé), et particulièrement pendant les heures de pointe (Après les rues ne sont pas forcément suffisamment larges pour permettre un usage délimité de chaque type de transport...)";"Autre problème : la politesse des gens !!! Je viens de Nantes, je pratique souvent le vélo (pas seulement à Nantes) et je ne me suis jamais fait insulter autant qu'à Paris... Après c'est un problème difficile à résoudre ça :)"
"5122";"Saint Lazare
Opéra
Concorde
Grands Boulevards";"Je trouve qu'il y a une contradiction entre le discours de la Mairie et les conditions réelles. Il faudrait idéalement que tous les bus soient électriques, que tous les conducteurs (ramassage poubelle, bus et taxi) soient formés au respect des cyclistes (ex: ouverture de portière sans vérification préalable, clignotant, voitures garées sur le terre plein vélo)... Il y a aussi un manque de communication envers le grand public sur les bases de la civilité : les piétons respectent rarement la séparation vélo / piéton, traversent sans regarder."
"5123";"L'entretien de la chaussée est trop souvent lamentable. Par exemple la place du Carrousel, le quai François Mitterand !";"Je circule en vélo à Paris depuis 30 ans. Je trouve la conduite des automobiliste et bus tout à fait respectueuse. Le danger vient (naturellement à part les portières qui s'ouvrent !) des piétons qui ne nous entendent pas arriver, qui ignorent les pistes cyclables."
"5124";"Toutes les prétendues ""pistes cyclables"" sur les voies elles-mêmes, sans cesse occupées par des voitures en stationnement, livraisons et autres obstacles dangereux.";"Les pistes cyclables ( qui heureusement se développent mais sont parfois très mal situées ) devraient être toujours beaucoup plus et mieux balisées pour être mieux protégées des 2 roues motorisés ( qui les empruntent sans scrupule et sans sanction  ), des voitures ( qui y stationnent sans scrupule car trop rarement verbalisées ), voire de piétons qui, le plus souvent, ne voient pas la piste, qui, parfois, ne peuvent marcher ailleurs ( quand la piste a été mal située ), ou qui, plus rarement, refusent délibérément de la laisser aux cyclistes."
"5125";"Boulevard Magenta";NA
"5126";"rue du renard / rue de rivoli / rue de la coutellerie";NA
"5127";"Les grands ronds-point ou carrefours";NA
"5128";"Rue beaubourg, rue rivoli, quai de seine";"Encore trop de place est donnée à la voiture, en circulation ou garée. En devenant une cycliste régulière je me suis aperçue que l'usage d'un masque anti pollution était indispensable."
"5129";"les pistes cyclables qui sont systématiquement investies par les voitures et camions garés (autour de Notre-Dame, boulevard de ménilmontant et Belleville, magenta...)ainsi que certains grands axes qui ne sont que dans in sens comme la rive gauche quand on remonte au musée d'Orsay, il faut traverser ou rejoindre le boulevard saint Germain qui est assez désagréable en vélo (chaussée défoncée par les bus, importance du traffic)";"les berges sont un vrai Plaisir, je vais travailler par les berges rive droite tous les jours, la vue est magnifique, l'air est plus sain et le calme est reposant. Merci pour cette initiative!"
"5130";"Boulevard poissonnière, boulevard montmartre
Boulevard voltaire,
avenue de la république";NA
"5131";"boulevard magenta";"Faire cohabiter les taxis/bus et les cyclistes dans la même voie est dangereux"
"5132";"Les grands axes : Champs-Elysées, rue Réaumur, Rue Lafayette car souvent saturés de voitures/scooters/motos";NA
"5133";"Les portes de Paris. Les grands axes.";"Le partage des voies de BUS-TAXIS avec les vélos est parfois problématique. Les BUS ne peuvent pas souvent doubler les vélos. Les vélos ne vont quand même pas s'arrêter à chaque fois que le BUS s'arrête."
"5134";"Carrefour, rond point, grandes avenues (champs elysées, etc...)";"Faire plus de pistes cyclable, plus grandes. Mettre à dispo plus des vélos en libre services et plus de stationnement."
"5135";"Carrefours
Grands axes (danger présenté par les véhicules motorisés)";NA
"5136";"Concorde Champs Elysées";"La priorité est selon moi la réduction drastique et autoritaire du trafic motorise incluant 4 et 2 roues. 
Sans cela tous les efforts, réels, faits par la mairie verront leurs résultats sur le confort des vélos et piétons, fortement réduits.

Je suis préoccupé de voir que les mesures prises ne réduisent pas la pollution, et n'augmentent pas significativement la pratique u vélo autant que celle des deux roues motorisées faites de véhicules dont la puissance et les nuisances sont tout à fait disproportionnés par rapport à l usage.

Démarrer à un feux  au milieu de 4 à 12 scooters et motos est un enfer 


"
"5137";"place de la bataille de Stalingrad";"La dissociation vélo/piétons est indispensable ! Il est plus facile à un vélo d'être dans le flux de circulation automobile (vitesse, direction, etc.) que d'être avec les piétons (trottoirs). Il existe deux types de circulation cycliste : professionnelle (coursiers, trajets quotidiens) qui sont plus à même d'être avec les voitures ; loisir (promenade, enfants, sorties) qui sont plus à même d'être proche des piétons. A chacun sa piste ! Le plus gros problème reste les cyclistes qui font n'importe quoi (contre sens sur piste cyclable, utilisation des trottoirs, arrêts inopportuns, attitudes dangereuses dans les carrefours."
"5138";"Nord de Paris (Porte de Clichy, Porte de la Chapelle)";"Le vélo devrait beaucoup plus être encouragé, les véhicules motorisés devraient être taxés dans Paris et des parking dans les communes environnantes devraient être construits"
"5139";"il y a énormément d'incivilité entre automobilistes (voitures, camions, scooters)-piétons, qui ont l'air de se croire dans leur droit quelle que soit la situation, et vélos.
très souvent les voitures bloquent-coupent le passage aux vélos (en ne laissant aucune place pour circuler sur la droite, ou ne font simplement pas attention à ce qui se passe autour), la plupart des piétons se moquent totalement des zones cyclables et se les approprient (tout comme ils s'approprient les voies de circulation des voitures, traversent la route n'importe où sans ce soucier de la circulation, et en cas de conflit, aucune discussion n'st possible, les piétons étant protégés par la loi en toute circonstance).
un autre problème majeur est l'utilisation des vélos de location. la plupart des usagers n'ont jamais entendu parler du code de la route, circulent sur les trottoirs, ne respectent aucune signalisation (céder le passage, stop, feu tricolore) et sont donc très dangereux pour les autres.  à paris, il n'y a aucune répression contre les infractions au code de la route contre les automobilistes (rarissimes radars à feu rouge ici et là), certaines zones (18ème et 19ème arrondissements) sont impraticables même en dehors des heures de pointe, tout particulièrement la nuit, mais il y a un problème majeur avec les utilisateurs vélib qui mettent en danger les autres usagers de la route et perturbent grandement le trafic en particulier quand certains coupent systématiquement la priorité aux carrefours à feux (marx-dormoy, marcadet-poissonniers, jaurès, pour ne citer qu'eux), quand ces mêmes cyclistes roulent avec un casque sur les oreilles et n'entendent donc pas ce qui se passe autour d'eux, le téléphone à la main, à contre-sens sans voie cyclable prévue avec un enfant à l'arrière, etc etc etc, créant une forte animosité des autre envers tous les cyclistes.
le problème à paris n'est pas qu'infra-structurel, il est aussi humain.";"selon moi, pour améliorer la pratique du vélo à paris il faut impérativement améliorer les rapports entre les gens, sensibiliser tout le monde non seulement sur l'utilisation du vélo, mais sur le respect de l'autre. à quoi sert une piste cyclable si les voitures s'en servent pour stationner, si les piétons la voient comme une extension du trottoir ? à quoi servent les passages piétons si les personnes traversent la route n'importe où sans même regarder si quelqu'un arrive ? à quoi servent les trottoirs si les scooters et vélo s'en servent pour rouler lorsque la route est bouchée ?
et surtout, comment faire pour que tous ne continuent pas si rien n'est fait pour les en empêcher ?
les sanctions en général (si rarement appliquée...) ne sont pas dissuasives. certains comportement (venant de tous, conducteurs, cyclistes, piétons) mettent tous les autres en danger et rien n'est fait pour les prévenir."
"5140";NA;"Les pistes cyclable sur trottoir piéton ne sont pas adapté et non respectés"
"5141";"Champs des elysses";"Selon moi il faut construire des vrais pistes cyclables séparés des voies pour des voitures. Un coup de peinture par terre avec une ligne et symbole de vélo n'est pas suffisant!"
"5142";"les grands carrefours et ronds-point ne sont pas du tout adaptés aux cyclistes";NA
"5143";"Le plus problématique reste le partage des couloirs de bus et des pistes cyclables. Si les bus ont souvent une conduite respectueuse des vélos, ce n'est absolument pas le cas des taxis. En 5 ans de pratique quoditienne de vélo, j'ai eu deux accidents impliquant deux taxis. L'un qui me renverse avec l'ouverture d'une portière en plein milieux de la voie, et l'autre me renversant également après m'avoir coupee la route pour tourner à droite... il y a à mon sens un énorme travail à faire sur ce type d'usager et surtout une importante nécessité à distinguer nos voies pour assurer la sécurité des cyclistes.";"Un problème récurrent à Paris reste le vol. Beaucoup de vélos ont été volés et tres peu ont été déclarés. À ce titre, je pense que les pouvoirs publics disposent de chiffres largement sous-évalués alors qu'il s'agit un problème très largement connu et subi au sein de la communauté de cyclistes de Paris."
"5144";"Avenue du général Leclerc, 75014";"Ou sont les « autoroutes à vélos » tant promises ? L’axe sud-nord est dangereux entre Denfert et la Porte d’Orléans, mais ça n’est pas le seul cas. Trop lents, les travaux promis."
"5145";"les grands boulevards";NA
"5146";"8ème, 16ème, grands boulevards, rue de Rivoli";"Je me déplace tous les jours à vélo pour aller travailler et je dois chaque jour emprunter les trotoirs pour éviter de me faire écraser par des voitures, des motos ou des camions qui roulent très vite sur les bandes cyclables. Je suis régulièrement témoins d'affrontement violents entre les vélos et les véhicules motorisés (moto et taxis en particulier) lorsque ces derniers ne respectent pas les bandes cyclables"
"5147";"D'une part, l'intégralité de l'axe partant de la place de la République et finissant à Richelieu-Drouot (donc blvds Saint-Martin/Saint-Denis etc...) dans la mesure où des véhicules sont constamment garés sur les voies de circulations pour vélo.
Par ailleurs, une bonne partie du 8ème arrondissement dans les alentours des Champs Elysées puisque les rues sont à sens unique et les détours assez longs.";"On est en très bonne voie, l'amélioration des conditions de circulation des vélos se ressent depuis plusieurs années, mais il reste encore beaucoup de choses à faire aussi bien sur les infrastructures que sur les mentalités."
"5148";"Sur les grandes axes, pas assez de pistes vélo";NA
"5149";NA;"Vive la vélorution !! (non partisan, j'aime bien l'expression)"
"5150";"de la place Balard au carrefour de l'aquaboulevard (15ème)";"Selon moi, le principal souci à Paris est le respect entre les différents usagers de la route (y compris les cyclistes eux mêmes, envers les piétons par exemple), les cyclistes étant souvent victime d'incivilités, parfois dangereuses (stationnement de voiture sur des pistes cyclables protégées qui oblige à déboîter brutalement, non respect de distance de sécurité par les voitures, ou klaxons réguliers des voitures quand on a le malheur d'être sur la voie de gauche pour...tourner à gauche), mais aussi la manque de communication fait sur les dispositifs réservés aux cyclistes ( histoire d'éviter de se faire insulter car on prend un sens interdit pourtant autorisé pour les vélos, ou un feu grillé puisque présence du panneau ""cédez le passage"" pour les vélos...)"
"5151";"Place de Clichy est compliquée pour les vélos . Il faudrait des feux spécifiques pour les vélos sinon on ne peut jamais passer les carrefours en sécurité.";"Il est déjà difficile de circuler sans conflit avec les véhicules motorisés et les piétons mais souvent les cyclistes qui ne respectent pas les règles de circulation ne respectent pas non plus les autres cyclistes. Un cycliste m'a par exemple roulé sur le pieds pour me dépasser alors que le feu était rouge..."
"5152";"Levallois direction Paris";"Plus de place aux velos"
"5153";"les gros croisements avec laisser-passer ou l'on doit s’arrêter au milieu du croisement ex : saint lazare x amsterdam ou magenta x lafayette";"1/ Il faudrait développer la communication et l'information des conducteurs, piétons, cyclistes, 2 roues motorisés sur les pb et contraintes de l'autre : des ""vis ma vie""  en situation au moment du passage du permis ou à l'école
2/ souvent, il est difficile de repérer où se poursuit la voie cyclable après un carrefour 
"
"5154";"Les routes rapides longeant la seine";NA
"5155";"Bastille";"Il faudrait aussi éduquer les cyclistes au code de la route et au respect des piétons"
"5156";"Place de la Bastille et de manière générale les grands carrefour, les grandes places type Concorde, place de l'Etoile, Nation (encore que celle-ci soit relativement praticable dans la mesure où il existe une double voie de circulation...) etc. ET les petites rues très passantes (du coup étroites bondées et dangereuses) comme la rue de Charonne particulièrement entre la rue Basfroi et le boulevard Voltaire (très dangereuse également pour les piétons car les trottoirs sont inexistants et très polluée - il est incompréhensible que cette rue soit toujours à double sens !!!).";"2 commentaires:
- il serait bon que la police soit le plus indulgente possible avec les vélos qui se garent où ils peuvent.
- il faudrait également que la police soit indulgente de manière générale avec les cyclistes et s'occupe plus de verbaliser les scooters qui roulent sur les pistes cyclables et les voitures qui ne respectent pas les cédez le passage à l'égard des vélos. C'est insupportable. un vélo va moins vite qu'une voiture et quand on est à la traîne (en étant passé au vert bien entendu) on risque sa vie (cf. place de la Bastille)"
"5157";"les boulevards comme rue de vaugirard";"faire de la communication sur les petits panneaux  spécifiques pour vélo accrochés aux feux au près des automobilistes  :-)"
"5158";"Place de la bastille";"Beaucoup d’effort de voirie sont fait, mais trop souvent, ça ne correspond pas au besoin. Un exemple : une belle piste cyclable toute neuve qui ne débouche sur rien. Des bandes de séparation utilisés pour les livraison, les piétons, et des motocycles (moto et scooter)...

Par ailleurs, les cycliste sont mal vus à l’an fois par les piétons (qui les considèrent comme dangereux) et les voitures. Lors d’un arrêt à un feu rouge (obligatoire), un piéton a hésité à traverser. Il m’a dit, surpris, qu’il n’etait pas habitué à ce que les cycliste s’arretent Au feu rouge...

À mon avis, une application plus stricte de la loi pour les cycliste serait bénéfique et permettrait à plus de monde de s´y mettre, en ne voyant plus les cycliste comme dangereux."
"5159";"Les couloirs de bus";NA
"5160";"Place de la Bastille et toutes les places en général. Egalement les boulevards et avenue du nord et de l'est de Paris (Marx Dormoy, Clignancourt,etc) sans piste cyclable. Les couloirs de bus partagés pas terrible";"""Respect"" : un mot que les automobilistes parisiens ne connaissent pas"
"5161";"Carrefour République - piste cyclable commune avec les piétons. Cohabitation difficile vélos/piétons. Non respect des cyclistes (surtout) envers les piétons (prioritaires)";NA
"5162";"la traversée des grandes places, comme la Bastille , les boulevards (comme beaumarchais, où rien n'est prévu pour les vélos et où les motos et voiture foncent...";"iNDISPENSABLE DE DONNER UNE FORMATION à TOUS LES NOUVEAUX CYCLISTES LOUEURS DE VéLIB QUI ROULENT à GAUCHE, déboulent dans une rue sans du tout respecter la priorité à droite, vous double à droite sur une piste cyclable;  exiger des motards et scooters qu'ils ne frôlent pas les cyclistes, ne les doublent pas à toute vitesse à droite puis à gauche, et roulent moins vite au démarrage des feux."
"5163";"Circulation des piétons sur les pistes cyclables
Stationnement des PL et VL sur les pistes cyclables
Comportement dangereux de certains cyclistes (conduite avec casque et écouteurs, au téléphone)";"Au vu du nombre croissant de cyclistes dans Paris, il serait intéressant de sensibiliser les gens aux bonnes pratiques. En effet, certains cyclistes considèrent être affranchis de toute règle en vélo (passage au feu rouge, téléphone au guidon, circulation sur les trottoirs, non respect des  feux piétons), ce qui accentue le sentiment d'impunité et ne favorise pas l'acceptation de ce mode de transport par les automobilistes par exemple."
"5164";"Rue Royale depuis la Madeleine vers la place de la concorde, la rue est défoncée, les voitures, les motos et scooters roulent vite et empiètent sur le semblant de reste de bande cyclable.
Toujours dans le même sens, l'entrée sur la place de la concorde est un cauchemar avec les voitures qui tournent à droite et celles qui grillent le feux qui est à gauche de l'entrée. Il n'y a rien pour faire traverser cette place en vélo en toute sécurité. Pourtant elle est très empruntée par les cyclistes (aventureux !).
Sur le pont de la concorde vers l'assemblée nationale, la bande cyclable est continuellement empruntée par les motos et scooters. Et si l'on veut tourner à gauche vers le Bd. St Germain, il faut vraiment être sur ses gardes avec les voitures qui tournent à droite.";"Il faut absolument trouver une solution pour faire ressortir visuellement les pistes et bandes cyclables afin que les piétons et les usagers motorisés les repères facilement et ne disent plus ""Ah! je n'avais pas vu..."""
"5165";"les entrées de Paris type Place de la Porte de Montreuil";NA
"5166";"rue de Ménilmontant, rue de Belleville, la pente est très forte et décourage les cyclistes de remonter les Vélibs', j'ai entendu parler de rails tractants dans lesquels on pourrait glisser la roue...";NA
"5167";"Les rues en sens unique qui peuvent être prise en sens inverse par les vélos.";"Le vélo à Paris : le pire (grandes avenues très passante avec piste cyclable sur la voie de bus, changement de côté des voies cyclable, rue en sens unique et piste cyclable en sens inverse ...)  comme le meilleur (piste cyclable protégée au bord de l'eau!!)"
"5168";"Les Champs Elysées, les grandes places type Concorde ou Etoile, la rue Saint Maur à double sens pour les vélos mais trop étroite donc dangereuse.";NA
"5169";"1_Les pistes cyclables sur les trottoirs sont envahi par les pietons.  
2_Les pistes cyclables a cote' de la route mais sans separation physique sont envahi par les moto et les voitures
3_ un trés bon modéle de piste cyclable est rue de Picpus
4_ Le traceés des pistes cyclables sont souvent peu logique (voir bv. Davout: la piste passe continuement de la droite a la gauche du boulevard)
6_ Le stationnement sauvage rends souvent les pistes cyclables impraticables
";"L'inconscience des pietons constitue un veritable danger."
"5170";"Les pistes cyclables sur les voies de bus utilisées également par les taxis et voitures assimilées";"Les deux roues motorisés sont extrêmement dangereux car respectent peu le code de la route. Les voitures sont disposées négativement vis à vis des cyclistes à cause de la fermeture des voies sur berge et ont un comportement agressif par défaut. Les cyclistes doivent avoir un comportement respectueux des piétons."
"5171";"75013";NA
"5172";"Les boulevards, les voies partagées avec les bus et les taxis, les carrefours.";"Les automobilistes doivent respecter les cyclistes."
"5173";"ronds points (Bastille)";"reste dangereux malgré les efforts d'ouvertures de pistes ciclables. peu de respect des priorités aux cyclistes"
"5174";"dans les quartiers en hauteur tels que le 20ème, 19ème, 18ème etc..";NA
"5175";"Quasiment partout";"Les scooters circulent librement sur les pistes cyclables, en toute impunité."
"5176";"La Place de la Concorde où la voir cyclable depuis le pont de la Concorde disparaît brutalement.
Et toutes les rues étroites à sens unique pour les voitures mais double sens pour les vélos (ex : rue Legendre, rue Jacob...)";"Il faudrait éduquer aussi les piétons qui marchent sur les voies cyclables et n'entendent pas les Klaxons.
Il faudrait mettre des caméras sur les voies cyclables (ex Rue de Rivoli) empruntées par les motos, afin de les sanctionner."
"5177";"les grandes places type Bastille, les grands boulevards tous lieux à forte circulation auto et bus avec piste cyclable juste marquée au sol. le boulevard Magenta : pistes cyclables sur les trottoirs les piétons ne visualisent pas la piste.";"cela fait + de 18 ans que je me déplace en vélo dans Paris quotidiennement pour tous mes déplacements. Je suis assez satisfaite de constater une augmentation des cyclistes, bien que les utilisateurs temporaires ne soient pas très respectueux des règles (feux, sens de circulation…). Je suis aussi satisfaite de l'augmentation des aménagements  cyclables… mais on peut toujours faire mieux. Je souhaiterais que les automobilistes et les bus soient plus conscients des cyclistes. Il serait aussi souhaitable que le vélo puisse prendre le bus…"
"5178";"RAS";"UN MEILLEUR SERVICE DU VELIB"
"5179";"Place du colonel Fabien";"Il y a généralement un problème d'acceptation du partage de la chaussée avec les véhicules motorisés : non respect des sas vélo au feux, de la distance de sécurité lors des dépassements ou des croisements dans les rues à contre sens cyclable. Stationnement ou circulation sur les pistes cyclables (par les deux roues motorisés) sont très fréquents. En outre les feux de circulation sont adaptés pour une vitesse de circulation de véhicules motorisés ce qui ne facilite pas une circulation fluide en vélo."
"5180";"20 bd st martin
Place de la Bastille";"Haine des cyclistes présente
Honte écologique de la ville
Changer les mentalités"
"5181";"Remonter les Champs Elysées, et les rues pavées en général.
Les doubles utilisation de voie de bus-taxis/velos. SUper dangereux.
Les quartiers populaires, où les pistes cyclables sont toujours squattées par des poubelles, des voitures, des trucs en tout genre (18e, 19e,20e,13e)";"Il est difficile d'utiliser les pistes cyclables. 
Soit les piétons marchent dessus et on est obligé de s'arrêter ou de sonner, soit il y a des travaux, soit il y a des voitures garées (haaa c'est insupportable), des poubelles ou des choses, et on doit changer de route. Sans parler des scooters qui les empruntent pour aller plus vite, et nous klaxonnent parcequ'on ne va pas assez vite! ...
Aussi, parfois on tente de suivre un itinéraire cyclable, et on doit chercher la piste : parfois elle passe à gauche d'une route, dans l'autre sens de circulation, parfois elle disparaît, c'est compliqué ! 
Aussi, les voitures devant tourner à droite par ex. s'en foutent des vélos, ils passent, et on doit s'arrêter, même si le code ne mentionne pas de priorité selon une taille de véhicule.
Aussi, il y a un espace devant les feux rouges pour les vélos, toujours squatté par les scooters - et parfois voitures.
Il m'est aussi arrivé de rouler sur des petits clous balancés sur les pistes cyclables (pour nous arrêter de rouler?)
Enfin, les portières de voiture qui s'ouvrent quand on passe, les voies de bus qu'on doit emprunter et qui énervent les conducteurs et leur font faire n'importe quoi pour nous le faire remarquer, les pistes cyclables inadaptées avec des montées et descentes de trottoir ou des pavés (wtf?), les véhicules qui nous double à 2 cm et parfois nous touche le guidon et nous font trembler de peur et de rage, et les innombrables vols (6eme vélo volé malgré 2 U abus dans un parking à vélo public!)
J'ai moi-même une voiture ET un scooter (et un vélo et des rollers) donc je change de position souvent, la pire situation est donc d'être un cycliste, et pas qu'à Paris..."
"5182";"Partout";NA
"5183";"Galeries Lafayette";"Les piétons ne respectent pas leur feu rouge, les motos slaloment, et les taxis klaxonnent.
Ce qui oblige à une attention permanente.
Cependant c'est avec des jeunes cyclistes que j'ai eu deux accidents: l'un avec des écouteurs me faisant une queue de poisson, l'autre en vélib me fonçant droit dessus en regardant en arrière."
"5184";"Les endroits touristiques et fréquentés (notamment pour les vélib') et les zones périphériques pour le vol.";NA
"5185";"Les grands croisements de boulevards";NA
"5186";"Les grands ronds points ! Les taxis et moto";"Non"
"5187";"Place de la concorde (Belle piste sur les berges de part et d'autre mais traversée compliquée)
boulevard magenta, cohabitation cyclistes piétons difficile
rue de la chapelle beaucoup de voitures sur la piste";"Gros efforts de faits mais pas encore exploites à 100% (accès aux voies sur berges pas évident faute de signalétique).
cohabitation piétons cyclistes pas tjs facile. Attention au calibrage des feux: un cycliste met plus de temps qu'une voiture à traverser un carrefour et peut se prendre un flot de piétons qui traversent car leur feu est passé au vert avant que le cycliste ait dégagé le carrefour."
"5188";"Boulevard Hausmann
Avenue des Champs Elysées";NA
"5189";NA;"Des progrès mais il reste encore à faire, les piétons et les cyclistes devraient mieux cohabiter, les motos et les scooters devraient être limités il faut prendre de l'espace à la voiture, il faut créer des zones où lon pourrait donner rapidement son vélo contre un euro ou un abonnement et où l'on serait certain de le récupérer sans perdre de temps. Le vélo électrique me semble un gadget, on peut se déplacer sans aide sauf cas particuliers (handicap ou résidence dans les zones élevées)"
"5190";"Le non respect des pistes cyclables par les autres usagers.";"Les efforts récemment entrepris par la Mairie de Paris sont à continuer. C'est globalement nettement mieux qu'il y a une dizaine d'années. Plus de pistes cyclables, plus d'usagers, plus de vélos partagés... Les mentalités parisiennes vont suivre."
"5191";"Saint Ouen";NA
"5192";NA;"Le principal point d'amélioration consiste à faire respecter le code de la route par tous : motos et scooters qui prennent les pistes cyclables ; voitures qui ne respectent pas la priorité à droite pour les vélos ; bus qui font des queues de poisson aux vélos sur les voies de bus mixtes vélo/bus ; piétons qui traversent sans regarder à droite et à gauche quand il y a une piste cyclable à contre-sens ; et bien sûr, vélos qui s'imaginent que les feux rouges sont purement indicatifs ou ne les concernent pas... Si tout le monde revoyait (et appliquait) son code, ce serait tellement plus simple !"
"5193";"Les pistes cyclables pensées par des gens qui ne font pas de vélo";NA
"5194";"les ronds points (ex Alesia)";NA
"5195";"Les rues partagées si nt compliquées dès qu'il y a bcp de piétons. Par exemple les rues autour des Halles sont très faciles et agréables le matin mais impossibles le soir, je finis souvent en poussant le vélo";"Super lorsqu'on emprunte un itinéraire sécurisé, une vraie horreur dès qu'on en sort"
"5196";"LES GRANS AXES ET ROND-POINT";NA
"5197";"Les axes où la mairie intervient en mettant des barrières à la circulation : l'empêcher rend encore plus dangereux l'usage du vélo";"Les chauffeurs de véhicules motorisés, exaspérés et distaits (il sont quasiment à l'arrêt) deviennent plus dangereux.
Les axes où la mairie est intervenue sont plus accidentogènes que avant. Les couloirs de bus (surtout ceux partagés avec les vélos sont les plus dangereux)"
"5198";"Tous les grands carrefours, les jonctions de grands axes";NA
"5199";"Les grands axes de circulation qui n'ont pas de piste cyclable (la plupart), je pense aux Champs Elysées notamment, les grands carrefours";"Très compliquée de manière générale, il faut bien anticiper les mouvements des autres usagers. Les piétons sont également un grand danger pour les vélos car ils traversent sans regarder, ""à l'oreille""."
"5200";"Paris centre est très périlleux en semaine l'idéal est de le faire le dimanche où de nombreuses voies sont fermées et réservées aux vélos et rollers.";NA
"5201";"Certaines grandes places, Concorde, Châtelet, Nation, Gambetta, Trocadéro, Etoile, Bastille...";"Tout va dans le bon sens"
"5202";"Rejoindre le pont dausterlitz depuis le bd de hôpital. Et inversement.";"Il serait temps de sanctionner vraiment les stationnements sur les PC"
"5203";"Tous les itinéraires partagés sont dangereux et les pistes sont mal entretenues. Les couloirs vélos sont pris d’assaut par les 2 roues motorisées. 6 ans que je fais du vélib au quotidien ds Paris et c’est de pire en pire : irrespect du code de la route envers les cyclistes, véhicules garées sur les pistes, pistes pas entretenues...Paris n’est pas une ville pour les vélos.";"Précédemment exprimée : Paris n’est pas une ville pour les vélos : pas de pistes adaptées, irrespect, dangerosité des couloirs partagés avec les bus et les taxis, vols des vélos, aucun accès sécurisé pour poser son vélo, pistes mal entretenues, utilisation des pistes par les 2 roues motorisées, vehicules garés sur les pistes, pollution extrême, irrespect total envers les vélos de la part des véhicules. Et deux roues motorisées. Injures quand on leur fait remarquer qu’ils sont ds les couloirs vélos. Paris devrait créer des pistes avec un accès possible uniquement pour les vélos, séparées du réseau routier. Aujourd’hui, Paris n’est pas une ville pour les vélos."
"5204";"avenue des ternes entre porte maillot et place des ternes";"plus dangereux que les voitures: les bus qui ne respectent pas les velos et les scooters qui utilisent les pistes cyclables"
"5205";"Les grandes places (Concorde, Opéra, Etoile) et les ronds points (Porte Maillot, porte";"C'est faisable mais dangereux"
"5206";"Place stalingrad";"La ville de Paris devrait prévoir (imposer aux constructeurs ?) d'installer des dispositifs de stationnement vélos sur les trottoirs larges, à proximité des lieux d'animation, et non uniquemenet sur la voie publique, ""à la place"" de place de stationnement voitures."
"5207";"place de la concorde ou place de l'étoile";"Il faut lutter contre les véhicule garés sur les piste et limiter le traffic automobile."
